"","V1","V2","V3","V4"
"188","OG0005960","Ribosomal protein S12/S23 / Ribosomal protein S12/S23","-1.89203043185598","-1.43641146907461"
"189","OG0005967","Solute carrier family 35 / Solute carrier family 35","-3.6572441144077","-10.9555582265624"
"190","OG0005978","Pleckstrin homology domain. / Pleckstrin homology domain.","-1.28326927824557","1.14325002617385"
"191","OG0006003","Belongs to the class I-like SAM-binding methyltransferase superfamily. mRNA cap 0 methyltransferase family / Belongs to the class I-like SAM-binding methyltransferase superfamily. mRNA cap 0 methyltransferase family","-3.82587577537172","-1.29174436146876"
"192","OG0006025","receptor 161 / receptor 161","-1.3066963335152","-1.51821106758981"
"193","OG0006096","negative regulation of appetite / negative regulation of appetite","3.06121491028464","1.11040819817702"
"194","OG0006119","Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily / Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily","-1.71864363548788","1.0125702868152"
"195","OG0006126","Tumor necrosis factor, alpha-induced protein 3 / Tumor necrosis factor, alpha-induced protein 3","2.2970774363283","5.1067225694116"
"196","OG0006162","translation initiation factor activity / translation initiation factor activity","-2.43232182030169","-1.04131392798083"
"197","OG0006169","structural constituent of cell wall / Lactose-binding lectin l-2-like","-2.85256963443422","-34.7027242673622"
"198","OG0006179","Belongs to the eukaryotic ribosomal protein eS4 family / Belongs to the eukaryotic ribosomal protein eS4 family","-4.26395897768949","-1.06925290448453"
"199","OG0006198","thiamin-triphosphatase activity / Thiamine triphosphatase","-1.02948728860995","4.52340149961579"
"200","OG0006214","endoplasmic reticulum-plasma membrane tethering / endoplasmic reticulum-plasma membrane tethering","3.87592138635452","8.21243384754629"
"201","OG0006216","Common central domain of tyrosinase / NA","-1.97139830603096","-11.3674968737604"
"202","OG0006218","9-cis retinoic acid receptor activity / 9-cis retinoic acid receptor activity","1.97487854382522","4.17174448952316"
"203","OG0006240","V-type proton ATPase subunit B / V-type proton ATPase subunit B","1.34722372152052","-1.75186870247855"
"204","OG0006254","Non-lysosomal glucosylceramidase that catalyzes the conversion of glucosylceramide to free glucose and ceramide / Non-lysosomal glucosylceramidase that catalyzes the conversion of glucosylceramide to free glucose and ceramide","-2.00575892167949","-10.6328557234994"
"205","OG0006296","Initiation factor 5a / eukaryotic translation initiation factor","-32.5131520689138","-1.35599856086586"
"206","OG0006306","glutamate dehydrogenase [NAD(P)+] activity / RNA recognition motif","-1.11080459789207","-4.36014267309582"
"207","OG0006321","Marginal zone B and / Marginal zone B and","7.05635472016547","-1.48109470734255"
"208","OG0006325","Sfi1 homolog / negative regulation of phosphatase activity","-1.07191252120207","1.56412673667605"
"209","OG0006344","pri-miRNA transcription by RNA polymerase II / pri-miRNA transcription by RNA polymerase II","-1.96622910467614","-5.59384121789505"
"210","OG0006347","spectrin binding / spectrin binding","1.37883631472248","2.31925611668051"
"211","OG0006359","exosome endoribonuclease and 3'-5' exoribonuclease / DIS3 exosome endoribonuclease and 3'-5' exoribonuclease","1.15739031844174","-2.48857432161822"
"212","OG0006383","26S proteasome non-ATPase regulatory subunit / 26S proteasome non-ATPase regulatory subunit","-3.68153231144922","-1.94107591442263"
"213","OG0006384","defense response to fungus / defense response to fungus","-5.34958158482796","-12.5089776873314"
"214","OG0006386","protein with multiple splicing / protein with multiple splicing","-2.02856274196154","-2.1212222886675"
"215","OG0006449","UDP-glucose 6-dehydrogenase activity / UDP-glucose 6-dehydrogenase activity","-1.50570571922089","-2.3748525617523"
"216","OG0006458","GTPase regulator activity / NA","-1.7775041155119","-8.84217683367408"
"217","OG0006483","prolyl 4-hydroxylase / prolyl 4-hydroxylase","1.31496089167583","-1.04622440957673"
"218","OG0006509","inorganic diphosphatase activity / inorganic diphosphatase activity","-1.06451222837799","4.8362759541577"
"219","OG0006545","Stress-induced-phosphoprotein 1 (Hsp70 Hsp90-organizing protein) / stress-induced-phosphoprotein 1","1.58534709309297","3.33058976162697"
"220","OG0006562","DBH-like monooxygenase protein 1 / NA","1.44682847154831","-1.80219139454767"
"221","OG0006565","PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides / PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides","4.28863191639908","-5.15798484408508"
"222","OG0006629","Calcium ion binding / calcium ion binding","27.0846319688696","53.4682059012751"
"223","OG0006663","medium-chain-acyl-CoA dehydrogenase activity / medium-chain-acyl-CoA dehydrogenase activity","-1.63511366017684","-2.03902919811549"
"224","OG0006682","FMN binding / FMN binding","-1.12082664236351","-1.90572865808198"
"225","OG0006690","Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family / Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family","-2.39998346622004","-5.80175252251229"
"226","OG0006748","(3S)-citramalyl-CoA lyase activity / (3S)-citramalyl-CoA lyase activity","1.35102167774784","2.15355625282765"
"227","OG0006765","N-succinyltransferase activity / N-succinyltransferase activity","-3.75185348182918","-3.26135117567403"
"228","OG0006824","Ankyrin repeats (many copies) / Ankyrin repeats (many copies)","1.13799012040423","1.40729804683399"
"229","OG0006825","oxidoreductase activity / oxidoreductase activity","1.40900894947325","-1.72898041999941"
"230","OG0006872","positive regulation of Notch signaling pathway / positive regulation of Notch signaling pathway","2.43669924248203","1.56838380449604"
"231","OG0006894","Von Willebrand factor / NA","-6.1850309212666","-6.57852658895341"
"232","OG0006932","GTPase activating protein binding / GTPase activating protein binding","1.30166180364391","1.07815961651357"
"233","OG0006933","lung ciliated cell differentiation / lung ciliated cell differentiation","1.49924143226907","-8.66875916354014"
"234","OG0006998","BCCT, betaine/carnitine/choline family transporter / BCCT, betaine/carnitine/choline family transporter","-3.87509268150477","-1.9995561382108"
"235","OG0007013","box H/ACA snoRNA 3'-end processing / box H/ACA snoRNA 3'-end processing","-6.62141182499467","-2.4530606404784"
"236","OG0007046","scavenger receptor activity / scavenger receptor activity","-1.25114804376632","-5.873667498465"
"237","OG0007060","metanephric glomerular basement membrane development / metanephric glomerular basement membrane development","1.00641890233835","1.30974937822882"
"238","OG0007092","connecting tubule development / Calbindin 2a","-1.62604963913058","-7.06348309061698"
