site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,time,file,AOI,FvFm,ratio
Rainbow,Ofav,3,1,Ro3-1,1,control pH,control temp,CC,0,CC_Ofav_RAIN,3,0.394,0.672
Rainbow,Ofav,4,1,Ro4-1,1,control pH,control temp,CC,0,CC_Ofav_RAIN,4,0.455,0.746
Rainbow,Ofav,5,1,Ro5-1,1,control pH,control temp,CC,0,CC_Ofav_RAIN,5,0.457,0.757
Star,Ofav,1,1,So1-1,1,control pH,control temp,CC,0,CC_Ofav_STAR,1,0.471,0.789
Star,Ofav,2,1,So2-1,1,control pH,control temp,CC,0,CC_Ofav_STAR,2,0.525,0.848
Star,Ofav,3,1,So3-1,1,control pH,control temp,CC,0,CC_Ofav_STAR,3,0.477,0.799
Star,Ofav,4,1,So4-1,1,control pH,control temp,CC,0,CC_Ofav_STAR,4,0.479,0.810
Star,Ofav,5,1,So5-1,1,control pH,control temp,CC,0,CC_Ofav_STAR,5,0.537,0.838
Emerald,Ssid,1,4,Es1-4,2,low pH,high temp,LH,0,LH_Ssid_EMRL,1,0.346,0.730
Emerald,Ssid,2,4,Es2-4,2,low pH,high temp,LH,0,LH_Ssid_EMRL,2,0.262,0.560
Emerald,Ssid,3,4,Es3-4,2,low pH,high temp,LH,0,LH_Ssid_EMRL,3,0.38,0.674
Emerald,Ssid,4,4,Es4-4,2,low pH,high temp,LH,0,LH_Ssid_EMRL,4,0.34,0.668
Emerald,Ssid,5,4,Es5-4,2,low pH,high temp,LH,0,LH_Ssid_EMRL,5,0.346,0.658
MacN,Ssid,1,4,Ms1-4,2,low pH,high temp,LH,0,LH_Ssid_STAR,1,0.335,0.632
MacN,Ssid,2,4,Ms2-4,2,low pH,high temp,LH,0,LH_Ssid_STAR,2,0.315,0.647
MacN,Ssid,3,4,Ms3-4,2,low pH,high temp,LH,0,LH_Ssid_MACN,3,0.349,0.701
MacN,Ssid,4,4,Ms4-4,2,low pH,high temp,LH,0,LH_Ssid_MACN_4-4,1,0.191,0.438
MacN,Ssid,5,4,Ms5-4,2,low pH,high temp,LH,0,LH_Ssid_MACN,4,0.388,0.761
Rainbow,Ssid,1,4,Rs1-4,2,low pH,high temp,LH,0,LH_Ssid_RAIN,1,0.359,0.708
Rainbow,Ssid,2,4,Rs2-4,2,low pH,high temp,LH,0,LH_Ssid_RAIN,2,0.354,0.662
Rainbow,Ssid,3,4,Rs3-4,2,low pH,high temp,LH,0,LH_Ssid_RAIN_3-4,1,0.208,0.606
