site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,bw1,temp1,salinity1,density1,mass1,bw2,temp2,salinity2,density2,mass2,deltamonth,deltayear,percentmonth,percentyear,surfacearea,growth,growthadj
control,control,,control,CR056,4,low pH,control temp,low pH-control temp,14.6337,22.65,33.44305,1022.881625,22.48247491,14.6112,22.71,35.23362,1024.222918,22.46370596,-0.018768944,-0.225227327,-0.083482552,-1.001790628,9.6094,-0.02343823,-0.048706549
Rainbow,Ofav,6,3,Ro1-3,4,low pH,control temp,low pH-control temp,21.0582,22.65,33.44305,1022.881625,32.35275105,21.1059,22.71,35.23362,1024.222918,32.44885647,0.096105419,1.153265029,0.297054859,3.56465831,12.901,0.08939346,0.064125141
Rainbow,Ofav,7,3,Ro2-3,4,low pH,control temp,low pH-control temp,20.3365,22.67,33.44305,1022.87596,31.24387494,20.4019,22.69,35.23362,1024.228641,31.36659952,0.122724582,1.472694986,0.392795652,4.713547821,9.3345,0.157769027,0.132500708
Rainbow,Ofav,8,3,Ro3-3,4,low pH,control temp,low pH-control temp,15.5713,22.67,33.44305,1022.87596,23.92288495,15.676,22.7,35.23362,1024.22578,24.10079825,0.177913305,2.134959657,0.743695023,8.924340278,13.113,0.16281245,0.137544131
Rainbow,Ofav,9,3,Ro4-3,4,low pH,control temp,low pH-control temp,13.7036,22.68,33.44305,1022.873126,21.05342258,13.8106,22.69,35.23362,1024.228641,21.23290278,0.179480203,2.153762439,0.852498935,10.22998722,10.421,0.206675217,0.181406898
Rainbow,Ofav,10,3,Ro5-3,4,low pH,control temp,low pH-control temp,20.2481,22.68,33.44305,1022.873126,31.10801583,20.3802,22.71,35.23362,1024.222918,31.33314309,0.225127256,2.701527073,0.723695325,8.684343894,9.0027,0.300079651,0.274811332
Star,Ofav,11,3,So1-3,4,low pH,control temp,low pH-control temp,13.0651,22.7,33.44305,1022.867455,20.07240823,13.076,22.7,35.23362,1024.22578,20.1034727,0.031064461,0.372773538,0.154762005,1.857144062,10.583,0.035223806,0.009955487
Star,Ofav,12,3,So2-3,4,low pH,control temp,low pH-control temp,11.2505,22.71,33.44305,1022.864618,17.28454378,11.3031,22.7,35.23362,1024.22578,17.37775789,0.093214113,1.118569351,0.539291715,6.471500581,9.2221,0.12129226,0.096023941
Star,Ofav,13,3,So3-3,4,low pH,control temp,low pH-control temp,14.8968,22.71,33.44305,1022.864618,22.88648432,15.037,22.7,35.23362,1024.22578,23.11837863,0.23189431,2.782731719,1.013236925,12.1588431,7.7511,0.359011201,0.333742882
Star,Ofav,14,3,So4-3,4,low pH,control temp,low pH-control temp,20.095,22.72,33.44305,1022.861781,30.87261815,20.1229,22.71,35.23362,1024.222918,30.93756219,0.06494404,0.77932848,0.210361297,2.524335564,7.4386,0.104768166,0.079499847
Star,Ofav,15,3,So5-3,4,low pH,control temp,low pH-control temp,13.3192,22.72,33.44305,1022.861781,20.46273081,13.482,22.7,35.23362,1024.22578,20.72767046,0.264939641,3.179275694,1.294742347,15.53690816,8.4698,0.375366088,0.350097769
control,control,,control,A138,5,control pH,high temp,control pH-high temp,18.7971,23.02,33.55391,1022.860293,28.8785886,18.8305,23.3,35.300455,1024.10333,28.94877035,0.070181754,0.842181048,0.243023491,2.916281886,9.3734,0.089847979,0.09787283
Emerald,Ssid,22,2,Es1-2,5,control pH,high temp,control pH-high temp,22.2401,23.02,33.55391,1022.860293,34.16818011,22.401,23.29,35.300455,1024.10624,34.43787444,0.269694339,3.236332062,0.78931432,9.471771843,11.215,0.28857174,0.29659659
Emerald,Ssid,23,2,Es2-2,5,control pH,high temp,control pH-high temp,23.1161,23.02,33.55391,1022.860293,35.51400705,23.3335,23.29,35.300455,1024.10624,35.87144071,0.357433662,4.289203948,1.006458274,12.07749929,12.748,0.336460931,0.344485781
Emerald,Ssid,24,2,Es3-2,5,control pH,high temp,control pH-high temp,24.6334,23.03,33.55391,1022.857429,37.84502695,24.8357,23.28,35.300455,1024.109149,38.18088584,0.335858896,4.030306753,0.887458467,10.64950161,12.275,0.328334562,0.336359413
Emerald,Ssid,25,2,Es4-2,5,control pH,high temp,control pH-high temp,23.6523,23.03,33.55391,1022.857429,36.33773376,23.8927,23.29,35.300455,1024.10624,36.73111927,0.393385505,4.720626057,1.082581284,12.99097541,13.725,0.343943611,0.351968461
Emerald,Ssid,26,2,Es5-2,5,control pH,high temp,control pH-high temp,22.8868,23.03,33.55391,1022.857429,35.16167329,23.0102,23.29,35.300455,1024.10624,35.37441983,0.212746539,2.552958467,0.605052374,7.260628486,8.051,0.317098307,0.325123157
MacN,Ssid,37,2,Ms1-2,5,control pH,high temp,control pH-high temp,18.16,23.07,33.55391,1022.845965,27.89958179,18.5443,23.27,35.300455,1024.112058,28.50891587,0.609334074,7.312008884,2.184025833,26.20831,11.102,0.658620869,0.666645719
MacN,Ssid,38,2,Ms2-2,5,control pH,high temp,control pH-high temp,15.112,23.08,33.55391,1022.843097,23.21684174,15.4629,23.27,35.300455,1024.112058,23.77175278,0.554911044,6.658932522,2.390122867,28.68147441,9.5874,0.694550402,0.702575252
MacN,Ssid,39,2,Ms3-2,5,control pH,high temp,control pH-high temp,17.5855,23.09,33.55391,1022.840228,27.01688435,17.9667,23.24,35.300455,1024.120778,27.62107398,0.604189633,7.250275597,2.236340894,26.83609073,10.38,0.698485125,0.706509975
MacN,Ssid,40,2,Ms4-2,5,control pH,high temp,control pH-high temp,16.158,23.09,33.55391,1022.840228,24.82379331,16.4147,23.26,35.300455,1024.114965,25.23503261,0.411239294,4.934871529,1.656633573,19.87960287,9.5688,0.515725225,0.523750075
MacN,Ssid,41,2,Ms5-2,5,control pH,high temp,control pH-high temp,16.3648,23.09,33.55391,1022.840228,25.14150345,16.6386,23.27,35.300455,1024.112058,25.5792048,0.437701345,5.252416136,1.740951354,20.89141624,9.0339,0.581411809,0.589436659
Rainbow,Ssid,27,2,Rs1-2,5,control pH,high temp,control pH-high temp,22.1049,23.04,33.55391,1022.854564,33.96036599,22.3906,23.29,35.300455,1024.10624,34.42188614,0.461520156,5.538241871,1.358996414,16.30795697,11.75,0.471339734,0.479364584
Rainbow,Ssid,28,2,Rs2-2,5,control pH,high temp,control pH-high temp,21.6597,23.04,33.55391,1022.854564,33.27639298,21.8283,23.28,35.300455,1024.109149,33.55749306,0.281100083,3.37320099,0.844743247,10.13691896,11.996,0.281193814,0.289218664
Rainbow,Ssid,29,2,Rs3-2,5,control pH,high temp,control pH-high temp,23.764,23.05,33.55391,1022.851698,36.5092321,23.9191,23.28,35.300455,1024.109149,36.77176108,0.262528974,3.150347692,0.719075585,8.62890702,12.985,0.242614378,0.250639228
Rainbow,Ssid,30,2,Rs4-2,5,control pH,high temp,control pH-high temp,24.8545,23.05,33.55391,1022.851698,38.18459474,25.137,23.28,35.300455,1024.109149,38.64408603,0.459491296,5.51389555,1.203342078,14.44010494,10.238,0.538571552,0.546596402
