"","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv.LH_CC"
"1659","Ssiderea051703",NA,2.99168716062005,"Glutathione S-transferase, C-terminal domain","Posttranslational modification, protein turnover, chaperones",4.11347515261816
"1660","Ssiderea051704",NA,5.60469588082972,"Glutathione S-transferase, C-terminal domain","Posttranslational modification, protein turnover, chaperones",6.69262479371101
"1661","Ssiderea051780",NA,-7.16688028078701,NA,NA,-8.1402609421183
"1662","Ssiderea051783",NA,-1.71921639287088,"regulation of cohesin loading","Cell cycle control, cell division, chromosome partitioning",-1.02149356277555
"1663","Ssiderea051795",NA,-2.30611349002616,"Glycosyl hydrolase family 20, catalytic domain","Carbohydrate transport and metabolism",-1.16018912505183
"1664","Ssiderea051803",NA,-1.48887132491577,"Belongs to the fatty acid desaturase type 1 family","Lipid transport and metabolism",-1.85845838065058
"1665","Ssiderea051804",NA,-2.64602188252877,"Fatty acid desaturase","Lipid transport and metabolism",-3.60297379763764
"1666","Ssiderea051895",NA,3.18171620025522,"[heparan sulfate]-glucosamine N-sulfotransferase activity","Posttranslational modification, protein turnover, chaperones",2.10446542439166
"1667","Ssiderea052005",NA,2.81191840622025,"GTP-specific succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","Energy production and conversion",1.60797613013034
"1668","Ssiderea052025",NA,2.59331970259865,"Carboxypeptidase","Posttranslational modification, protein turnover, chaperones",3.12616205197482
"1669","Ssiderea052048",NA,1.24844249056535,"Carboxypeptidase","Posttranslational modification, protein turnover, chaperones",1.09182445467568
"1670","Ssiderea052054",NA,2.17662107520574,"Carboxypeptidase","Posttranslational modification, protein turnover, chaperones",2.54371976547946
"1671","Ssiderea052111",NA,1.95654151521141,"GTPase regulator activity","Function Unknown",1.54312453100619
"1672","Ssiderea052201",NA,1.70804707500473,"dioxygenase activity","Coenzyme transport and metabolism",3.59904530940712
"1673","Ssiderea052213",NA,1.13970561415822,NA,NA,2.39085720801582
"1674","Ssiderea052229",NA,8.41639460929829,NA,NA,5.4200744658999
"1675","Ssiderea052255",NA,-2.68929706656794,"RNA polymerase II sequence-specific DNA-binding transcription factor binding","Cytoskeleton",-2.61947470396236
"1676","Ssiderea052343",NA,1.77025418160627,"Src homology 3 domains","Signal transduction mechanisms",1.25831372660671
"1677","Ssiderea052352",NA,-2.59392898354056,"ITP binding","Function Unknown",-3.7943129196379
"1678","Ssiderea052394",NA,2.63350643668192,NA,NA,2.23648291131525
"1679","Ssiderea052473",NA,5.35952830449741,"Cupin-like domain","",4.63658715696031
"1680","Ssiderea052474",NA,1.84880368594823,"-","",1.97033567037632
"1681","Ssiderea052522",NA,1.24844249056535,NA,NA,1.79448085741959
"1682","Ssiderea052550",NA,-1.39104851203685,"protein localization to nucleolus","Translation, ribosomal structure and biogenesis",-3.06824551639842
"1683","Ssiderea052606",NA,-1.75163675141427,"zinc transporter","Inorganic ion transport and metabolism",-1.89610761600404
"1684","Ssiderea052612",NA,-2.40639903469963,"zinc transporter","Inorganic ion transport and metabolism",-1.97029520258216
"1685","Ssiderea052625",NA,2.13338602760881,"protein disulfide isomerase activity","Posttranslational modification, protein turnover, chaperones",1.32348092792597
"1686","Ssiderea052652",NA,3.78594328797952,"Protein disulfide isomerase family A member 4","Posttranslational modification, protein turnover, chaperones",2.68065860378198
"1687","Ssiderea052690",NA,-2.61306434345023,NA,NA,-7.48854538648459
"1688","Ssiderea052692",NA,-3.4914907597294,"26s proteasome non-ATPase regulatory subunit","Posttranslational modification, protein turnover, chaperones",-7.45468842523588
"1689","Ssiderea052812",NA,2.32024638055017,"mitochondrial translation","Translation, ribosomal structure and biogenesis",1.65792576779244
"1690","Ssiderea052852",NA,-1.33953210478912,"rRNA (pseudouridine) methyltransferase activity","Translation, ribosomal structure and biogenesis",-3.22666819991705
"1691","Ssiderea052859",NA,1.5577801843303,NA,NA,1.16692764649757
"1692","Ssiderea052863",NA,2.67218772109383,NA,NA,2.45458077184574
"1693","Ssiderea052866",NA,3.81384116611602,NA,NA,2.70585791079284
"1694","Ssiderea052904",NA,-3.1881371395462,"nucleic acid-templated transcription","RNA processing and modification",-3.05729690012032
"1695","Ssiderea052941",NA,-1.71543050282541,NA,NA,-1.29759896649437
"1696","Ssiderea052942",NA,-1.85669314604398,"TENA/THI-4/PQQC family","Function Unknown",-2.66408097582639
"1697","Ssiderea052944",NA,-1.69469419275828,"mitochondrial fusion","Function Unknown",-2.56515445479465
"1698","Ssiderea052948",NA,3.1295365431754,NA,NA,1.96619552567892
"1699","Ssiderea052982",NA,-2.07774802550183,NA,NA,-1.8635486797139
"1700","Ssiderea052983",NA,-2.68902124397261,"transmembrane signaling receptor activity. It is involved in the biological process described with cell surface receptor signaling pathway","Signal transduction mechanisms",-1.59472526729542
"1701","Ssiderea053049",NA,1.68452200694377,"adherens junction organization","Cytoskeleton",1.96911983697071
"1702","Ssiderea053078",NA,-1.42931850236181,"quercetin 2,3-dioxygenase activity","Function Unknown",-1.44070536890158
"1703","Ssiderea053080",NA,6.25379970252073,"Malic enzyme","Energy production and conversion",8.18198268693135
"1704","Ssiderea053134",NA,-2.42415770191569,"Collagen, type VI, alpha 6","Extracellular structures",-1.54281688032846
"1705","Ssiderea053141",NA,-3.55219213499106,"biological adhesion","Extracellular structures",-1.74460197146949
"1706","Ssiderea053152",NA,-2.20443224391865,NA,NA,-1.31663843914725
"1707","Ssiderea053153",NA,-1.5426320913243,"Collagen alpha-4(VI) chain-like","Extracellular structures",-1.55348647064463
"1708","Ssiderea053157",NA,-6.58546479346793,"Collagen alpha-5(VI)","Extracellular structures",-6.91517577316801
"1709","Ssiderea053245",NA,-1.03649665092676,"mRNA processing","RNA processing and modification",-2.1935010995332
"1710","Ssiderea053264",NA,-2.55389826026888,"glutamate synthase (NADH) activity. It is involved in the biological process described with oxidation-reduction process","Amino acid transport and metabolism",-1.61781945650989
"1711","Ssiderea053276",NA,1.0933025629555,NA,NA,1.24883156683017
"1712","Ssiderea053362",NA,5.04072341783771,"Common central domain of tyrosinase","Amino acid transport and metabolism",4.86818846411837
"1713","Ssiderea053364",NA,2.99023552122641,"Common central domain of tyrosinase","Amino acid transport and metabolism",2.74297797716602
"1714","Ssiderea053367",NA,1.77735981792585,"Common central domain of tyrosinase","Amino acid transport and metabolism",1.35789522646686
"1715","Ssiderea053371",NA,3.08439400940408,"Common central domain of tyrosinase","Amino acid transport and metabolism",1.81878592792707
"1716","Ssiderea053531",NA,1.01226787095051,"Common central domain of tyrosinase","Amino acid transport and metabolism",1.01395876745575
