"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"1347","Ofaveolata016794",NA,NA,"Involved in the biogenesis of the 60S ribosomal subunit","Coenzyme transport and metabolism",5.71894619436129,11.2419194453061
"1348","Ofaveolata016805",NA,NA,"3'-5' exonuclease activity","Energy production and conversion",1.27712302408299,1.13089773246433
"1349","Ofaveolata016813",NA,NA,"Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)","Translation, ribosomal structure and biogenesis",1.23866720282123,1.47602893350452
"1350","Ofaveolata016816",NA,NA,"Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)","Translation, ribosomal structure and biogenesis",2.15763459265855,3.06089996322935
"1351","Ofaveolata016834",NA,NA,NA,NA,-2.23364974482043,-6.29265104767447
"1352","Ofaveolata016843",NA,NA,"Fibrillar collagens C-terminal domain","Extracellular structures",1.96262782426154,1.12419541829263
"1353","Ofaveolata016864",NA,NA,"Alternative oxidase","Secondary metabolites biosynthesis, transport and catabolism",-2.23364974482043,-1.78815151139768
"1354","Ofaveolata016942",NA,NA,NA,NA,1.33403501975798,2.61461370598628
"1355","Ofaveolata016958",NA,NA,"organic anion transmembrane transporter activity","Transcription",6.23822230340773,2.54573056583693
"1356","Ofaveolata017006",NA,NA,NA,NA,3.79649185729524,5.40841937079534
"1357","Ofaveolata017015",NA,NA,"microtubule motor activity","Cytoskeleton",-5.16224309653233,-6.96063050337895
"1358","Ofaveolata017017",NA,NA,NA,NA,-4.15397856597856,-6.87540677805154
"1359","Ofaveolata017061",NA,NA,"guanylate cyclase activity","Signal transduction mechanisms",-1.71604885740725,-2.9694956537546
"1360","Ofaveolata017107",NA,NA,NA,NA,-1.06609920703319,-3.52627140235168
"1361","Ofaveolata017117",NA,NA,"endoplasmic reticulum-plasma membrane tethering",NA,2.07458871854027,1.68489658537799
"1362","Ofaveolata017129",NA,NA,NA,NA,3.22938138361752,9.39162230131128
"1363","Ofaveolata017131",NA,NA,NA,NA,1.23442471520038,3.59260150917067
"1364","Ofaveolata017155",NA,NA,"TBC1 domain family, member 5","Intracellular trafficking, secretion, and vesicular transport",1.25333370923402,3.62291975221817
"1365","Ofaveolata017157",NA,NA,"integrin","Extracellular structures",-1.66370686163813,-1.51998731813424
"1366","Ofaveolata017170",NA,NA,NA,NA,2.77334633152329,3.00340493849407
"1367","Ofaveolata017215",NA,NA,"CUB and zona pellucida-like domain-containing protein",NA,-1.16877406267583,-2.83653553102036
"1368","Ofaveolata017222",NA,NA,"CUB and zona pellucida-like domain-containing protein",NA,1.06707470546406,2.08519801459193
"1369","Ofaveolata017246",NA,NA,NA,NA,2.36647287566877,3.64155822933668
"1370","Ofaveolata017261",NA,NA,"beta-galactosidase activity","Carbohydrate transport and metabolism",1.28469609647302,-4.60707762751911
"1371","Ofaveolata017291",NA,NA,"Acyl-CoA synthetase long-chain family member","Lipid transport and metabolism",1.05481828247579,4.77033469507441
"1372","Ofaveolata017317",NA,NA,NA,NA,-1.41031780354782,-3.00670561019414
"1373","Ofaveolata017324",NA,NA,NA,NA,1.01752164183084,1.44323761375685
"1374","Ofaveolata017393",NA,NA,NA,NA,-1.11873906358228,-4.77414584372365
"1375","Ofaveolata017394",NA,NA,NA,NA,1.16885015768692,1.69604534797987
"1376","Ofaveolata017453",NA,NA,"phospholipid scrambling","Cell wall/membrane/envelope biogenesis",-1.27471417366387,-1.96387330787839
"1377","Ofaveolata017468",NA,NA,"Argininosuccinate","Amino acid transport and metabolism",-2.36831454674852,-2.20227306262482
"1378","Ofaveolata017563",NA,NA,NA,NA,2.43606763796451,4.09510359302606
"1379","Ofaveolata017565",NA,NA,"cAMP-dependent protein kinase activity","Nucleotide transport and metabolism",-1.19144568500434,-1.26601171231602
"1380","Ofaveolata017571",NA,NA,"zinc ion binding","Posttranslational modification, protein turnover, chaperones",1.1211588249895,8.60156481949761
"1381","Ofaveolata017573",NA,NA,"zinc ion binding","Posttranslational modification, protein turnover, chaperones",2.48905705563288,8.61201612541861
"1382","Ofaveolata017575",NA,NA,"Belongs to the sterol desaturase family","Lipid transport and metabolism",1.60110775912091,4.87974698893156
"1383","Ofaveolata017578",NA,NA,NA,NA,-2.31119904556066,-1.78748217522001
"1384","Ofaveolata017583",NA,NA,NA,NA,2.54943918881303,2.21431080000224
"1385","Ofaveolata017585",NA,NA,NA,NA,1.77755052502644,3.01012200235475
"1386","Ofaveolata017606",NA,NA,"ACT domain","Signal transduction mechanisms",3.88374398944938,3.0563986862312
"1387","Ofaveolata017608",NA,NA,NA,NA,6.64949245085464,9.98811078134967
"1388","Ofaveolata017642",NA,NA,"mRNA-containing ribonucleoprotein complex export from nucleus","RNA processing and modification",2.20642208061276,5.71556807312485
"1389","Ofaveolata017647",NA,NA,"Rhomboid domain containing 1",NA,2.16902001068025,2.42465980211908
"1390","Ofaveolata017699",NA,NA,"potassium voltage-gated channel","Inorganic ion transport and metabolism",3.20495620132127,1.14555433155792
"1391","Ofaveolata017719",NA,NA,NA,NA,-1.63687833148774,-7.94546607064088
"1392","Ofaveolata017730",NA,NA,NA,NA,-1.38901751856222,-1.01688316875935
"1393","Ofaveolata017732",NA,NA,NA,NA,-2.25386146693216,-3.14524033666319
"1394","Ofaveolata017753",NA,NA,NA,NA,1.26727323604638,4.57306672063125
"1395","Ofaveolata017763",NA,NA,NA,NA,-1.94988540521337,-1.84917804484839
"1396","Ofaveolata017767",NA,NA,NA,NA,-1.69535262645702,-9.22241290685635
"1397","Ofaveolata017769",NA,NA,NA,NA,-1.08542447551308,-1.56034979330801
"1398","Ofaveolata017773",NA,NA,NA,NA,-1.4390912461694,-2.7547466375282
"1399","Ofaveolata017776",NA,NA,NA,NA,-1.19326593821208,-2.86271076191587
"1400","Ofaveolata017778",NA,NA,NA,NA,1.21578393073338,3.02276177760785
"1401","Ofaveolata017791",NA,NA,"Cytochrome P450, family 46, subfamily A, polypeptide","",-2.81933576148641,-1.47938385817114
"1402","Ofaveolata017799",NA,NA,NA,NA,1.74927282390108,2.33619188253685
